S.No,Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
1,ADBL,-,296.00,296.00,293.00,295.00,295.00,0.00,0.00,294.76,"11,187.00",294.00,"3,297,517.00",78,1.00,3.00,0.34,1.02,0.08,382.00,290.00
2,AHPC,-,102.00,102.00,101.00,101.00,101.00,0.00,0.00,101.32,170.00,101.00,"17,225.00",4,0.00,1.00,0.00,0.99,-0.32,202.00,96.00
3,AKJCL,-,80.00,81.00,80.00,80.00,80.00,0.00,0.00,80.12,"1,080.00",81.00,"86,530.00",69,-1.00,1.00,-1.23,1.25,-0.15,106.00,75.00
4,AKPL,-,176.00,184.00,171.00,184.00,184.00,0.00,0.00,181.25,"1,698.00",176.00,"307,756.00",36,8.00,13.00,4.55,7.60,1.50,349.00,146.00
5,ALBSL,-,489.00,498.00,480.00,483.00,483.00,0.00,0.00,485.62,"4,030.00",485.00,"1,957,030.00",324,-2.00,18.00,-0.41,3.75,-0.54,555.00,300.00
6,ALICL,-,394.00,394.00,383.00,390.00,390.00,0.00,0.00,385.45,"4,698.00",390.00,"1,810,849.00",26,0.00,11.00,0.00,2.87,1.17,940.00,370.00
7,AMFI,-,656.00,658.00,655.00,655.00,655.00,0.00,0.00,655.76,580.00,649.00,"380,340.00",28,6.00,3.00,0.92,0.46,-0.12,"1,000.00",255.00
8,API,-,134.00,138.00,134.00,136.00,136.00,0.00,0.00,134.49,"14,590.00",136.00,"1,962,143.00",38,0.00,4.00,0.00,2.99,1.11,400.00,120.00
9,BARUN,-,96.00,97.00,96.00,96.00,96.00,0.00,0.00,96.27,820.00,97.00,"78,940.00",12,-1.00,1.00,-1.03,1.04,-0.28,196.00,90.00
10,BHBL,-,144.00,150.00,144.00,150.00,150.00,0.00,0.00,147.94,"3,954.00",146.00,"584,964.00",17,4.00,6.00,2.74,4.17,1.37,191.00,120.00
11,BNT,-,"6,447.00","6,447.00","6,447.00","6,447.00","6,447.00",0.00,0.00,"6,447.00",20.00,"6,321.00","128,940.00",1,126.00,0.00,1.99,0.00,0.00,"7,339.00","5,243.00"
12,BOKL,-,244.00,245.00,240.00,242.00,242.00,0.00,0.00,240.75,"88,241.00",241.00,"21,243,580.00",113,1.00,5.00,0.41,2.08,0.52,368.00,231.00
13,BPCL,-,360.00,360.00,354.00,355.00,355.00,0.00,0.00,355.39,"5,239.00",360.00,"1,861,880.00",97,-5.00,6.00,-1.39,1.69,-0.11,524.00,332.00
14,CBBL,-,885.00,889.00,885.00,885.00,885.00,0.00,0.00,886.62,"2,235.00",885.00,"1,981,591.00",22,0.00,4.00,0.00,0.45,-0.18,"1,120.00",795.00
15,CBL,-,155.00,160.00,154.00,156.00,156.00,0.00,0.00,155.65,"17,455.00",155.00,"2,716,895.00",47,1.00,6.00,0.65,3.90,0.22,188.00,141.00
16,CCBL,-,164.00,166.00,164.00,165.00,165.00,0.00,0.00,164.94,"24,196.00",163.00,"3,990,789.00",108,2.00,2.00,1.23,1.22,0.04,205.00,155.00
17,CEFL,-,97.00,100.00,97.00,99.00,99.00,0.00,0.00,98.86,420.00,96.00,"41,520.00",7,3.00,3.00,3.13,3.09,0.14,206.00,94.00
18,CFCL,-,106.00,106.00,105.00,105.00,105.00,0.00,0.00,105.96,415.00,106.00,"43,975.00",4,-1.00,1.00,-0.94,0.95,-0.92,134.00,104.00
19,CHCL,-,503.00,503.00,500.00,502.00,502.00,0.00,0.00,501.29,"3,591.00",503.00,"1,800,144.00",36,-1.00,3.00,-0.20,0.60,0.14,910.00,493.00
20,CHL,-,101.00,102.00,101.00,102.00,102.00,0.00,0.00,101.67,30.00,101.00,"3,050.00",3,1.00,1.00,0.99,0.99,0.33,171.00,97.00
21,CHLBS,-,527.00,528.00,518.00,524.00,524.00,0.00,0.00,521.06,"1,450.00",527.00,"755,530.00",99,-3.00,10.00,-0.57,1.93,0.56,610.00,238.00
22,CIT,-,"2,630.00","2,630.00","2,611.00","2,612.00","2,612.00",0.00,0.00,"2,613.68","3,750.00","2,615.00","9,801,287.00",32,-3.00,19.00,-0.11,0.73,-0.06,"2,948.00","1,577.00"
23,CLBSL,-,583.00,583.00,576.00,576.00,576.00,0.00,0.00,579.50,20.00,594.00,"11,590.00",2,-18.00,7.00,-3.03,1.22,-0.61,988.00,516.00
24,CMF1,-,8.92,9.00,8.92,9.00,9.00,0.00,0.00,8.97,300.00,9.00,"2,692.00",2,0.00,0.08,0.00,0.90,0.30,10.00,8.00
25,CORBL,-,99.00,99.00,97.00,98.00,98.00,0.00,0.00,97.81,"1,030.00",98.00,"100,740.00",7,0.00,2.00,0.00,2.06,0.20,145.00,89.00
26,CZBIL,-,209.00,211.00,208.00,209.00,209.00,0.00,0.00,209.60,"27,052.00",209.00,"5,670,100.00",85,0.00,3.00,0.00,1.44,-0.29,300.00,199.00
27,DBBL,-,125.00,126.00,125.00,126.00,126.00,0.00,0.00,125.92,"2,314.00",125.00,"291,378.00",12,1.00,1.00,0.80,0.80,0.06,168.00,120.00
28,DDBL,-,585.00,591.00,585.00,585.00,585.00,0.00,0.00,588.95,"2,556.00",590.00,"1,505,357.00",26,-5.00,6.00,-0.85,1.03,-0.68,952.00,555.00
29,EBL,-,560.00,565.00,558.00,561.00,561.00,0.00,0.00,559.86,"10,611.00",558.00,"5,940,648.00",87,3.00,7.00,0.54,1.25,0.20,900.00,501.00
